"folder","full_path","files","size_mb"
"sampul_koleksi","C:\xampp\htdocs\inlislite3\uploaded_files\sampul_koleksi","7645","1284.52"
"foto_anggota","C:\xampp\htdocs\inlislite3\uploaded_files\foto_anggota","5864","110.98"
"dokumen_isi","C:\xampp\htdocs\inlislite3\uploaded_files\dokumen_isi","4","12.46"
"settings","C:\xampp\htdocs\inlislite3\uploaded_files\settings","17","6.78"
"aplikasi","C:\xampp\htdocs\inlislite3\uploaded_files\aplikasi","9","1.31"
"templates","C:\xampp\htdocs\inlislite3\uploaded_files\templates","87","1.22"
"temporary","C:\xampp\htdocs\inlislite3\uploaded_files\temporary","4","0.57"
"logo_ruangan","C:\xampp\htdocs\inlislite3\uploaded_files\logo_ruangan","0","0"
"foto_rujukan","C:\xampp\htdocs\inlislite3\uploaded_files\foto_rujukan","0","0"
